State_Name,Election_Year,Constituency_No,Constituency_Name,Position,Candidate,Party,Votes,Vote_Share_Percentage,Margin_Percentage,Turnout_Percentage
Kerala,2021,1,Manjeshwaram,1,A. K. M. Ashraf,IUML,65758,38.14,0.43,76.81
Kerala,2021,1,Manjeshwaram,2,K. Surendran,BJP,65013,37.70,0.00,76.81
Kerala,2021,1,Manjeshwaram,3,Jayananda,CPI(M),31636,18.35,0.00,76.81
Kerala,2021,133,Vattiyoorkavu,1,V. K. Prasanth,CPI(M),61111,44.40,21.55,69.60
Kerala,2021,133,Vattiyoorkavu,2,V. V. Rajesh,BJP,39591,28.77,0.00,69.60
Kerala,2021,133,Vattiyoorkavu,3,Veena S. Nair,INC,35455,25.76,0.00,69.60
Tamil Nadu,2021,11,Dr. Radhakrishnan Nagar,1,J. John Ebenezer,DMK,95763,51.20,22.75,71.01
Tamil Nadu,2021,11,Dr. Radhakrishnan Nagar,2,R. S. Rajesh,AIADMK,53284,28.49,0.00,71.01
